导出, KERNEL32.dll
序列	地址	名字
000000DF	7C82CFAB	FindNextVolumeW
000000E0	7C80BF29	FindResourceA
000000E1	7C835FA8	FindResourceExA
000000E2	7C80AD28	FindResourceExW
000000E3	7C80BC6E	FindResourceW
000000E4	7C82CF70	FindVolumeClose
000000E5	7C835805	FindVolumeMountPointClose
000000E6	7C874C5C	FlushConsoleInputBuffer
000000E7	7C8126E1	FlushFileBuffers
000000E8	7C8355EC	FlushInstructionCache
000000E9	7C8359A1	FlushViewOfFile
000000EA	7C876FF1	FoldStringA
000000EB	7C87A776	FoldStringW
000000EC	7C82F7A8	FormatMessageA
000000ED	7C834BBF	FormatMessageW
000000EE	7C8721CD	FreeConsole
000000EF	7C81D6EF	FreeEnvironmentStringsA
000000F0	7C814B87	FreeEnvironmentStringsW
000000F1	7C80AC7E	FreeLibrary
000000F2	7C80C210	FreeLibraryAndExitThread
000000F3	7C8260C2	FreeResource
000000F4	7C85F702	FreeUserPhysicalPages
000000F5	7C834B99	FreeVirtualBuffer
000000F6	7C874B61	GenerateConsoleCtrlEvent
000000F7	7C8099B5	GetACP
000000F8	7C85C283	GetAtomNameA
000000F9	7C833117	GetAtomNameW
000000FA	7C86916B	GetBinaryType
000000FB	7C86916B	GetBinaryTypeA
000000FC	7C868D0C	GetBinaryTypeW
000000FD	7C83850B	GetCPFileNameFromRegistry
000000FE	7C812F16	GetCPInfo
000000FF	7C877187	GetCPInfoExA
00000100	7C87B30D	GetCPInfoExW
00000101	7C876AAB	GetCalendarInfoA
00000102	7C839050	GetCalendarInfoW
00000103	7C86CCE2	GetComPlusPackageInstallStatus
00000104	7C867E49	GetCommConfig
00000105	7C8669CD	GetCommMask
00000106	7C866A56	GetCommModemStatus
00000107	7C866ADF	GetCommProperties
00000108	7C866B97	GetCommState
00000109	7C822128	GetCommTimeouts
0000010A	7C812FBD	GetCommandLineA
0000010B	7C817023	GetCommandLineW
0000010C	7C85E471	GetCompressedFileSizeA
0000010D	7C85E349	GetCompressedFileSizeW
0000010E	7C8216A4	GetComputerNameA
0000010F	7C858793	GetComputerNameExA
00000110	7C8201F1	GetComputerNameExW
00000111	7C8316CF	GetComputerNameW
00000112	7C8711F2	GetConsoleAliasA
00000113	7C87168C	GetConsoleAliasExesA
00000114	7C871392	GetConsoleAliasExesLengthA
00000115	7C871385	GetConsoleAliasExesLengthW
00000116	7C871671	GetConsoleAliasExesW
00000117	7C8711C6	GetConsoleAliasW
00000118	7C871527	GetConsoleAliasesA
00000119	7C8712F9	GetConsoleAliasesLengthA
0000011A	7C8712E1	GetConsoleAliasesLengthW
0000011B	7C871509	GetConsoleAliasesW
0000011C	7C875213	GetConsoleCP
0000011D	7C8762E3	GetConsoleCharType
0000011E	7C871AE7	GetConsoleCommandHistoryA
0000011F	7C871945	GetConsoleCommandHistoryLengthA
00000120	7C87192D	GetConsoleCommandHistoryLengthW
00000121	7C871AC9	GetConsoleCommandHistoryW
00000122	7C8746A1	GetConsoleCursorInfo
00000123	7C87593F	GetConsoleCursorMode
00000124	7C837C83	GetConsoleDisplayMode
00000125	7C8748D9	GetConsoleFontInfo
00000126	7C874A01	GetConsoleFontSize
00000127	7C872D59	GetConsoleHardwareState
00000128	7C871E3C	GetConsoleInputExeNameA
00000129	7C871C11	GetConsoleInputExeNameW
0000012A	7C872739	GetConsoleInputWaitHandle
0000012B	7C875469	GetConsoleKeyboardLayoutNameA
0000012C	7C875481	GetConsoleKeyboardLayoutNameW
0000012D	7C81AC50	GetConsoleMode
0000012E	7C8760C7	GetConsoleNlsMode
0000012F	7C81AEC7	GetConsoleOutputCP
00000130	7C875505	GetConsoleProcessList
00000131	7C81B963	GetConsoleScreenBufferInfo
00000132	7C874769	GetConsoleSelectionInfo
00000133	7C871B79	GetConsoleTitleA
00000134	7C81B774	GetConsoleTitleW
00000135	7C875499	GetConsoleWindow
00000136	7C876CB9	GetCurrencyFormatA
00000137	7C87C80A	GetCurrencyFormatW
00000138	7C8300B1	GetCurrentActCtx
00000139	7C874A8F	GetCurrentConsoleFont
0000013A	7C83502E	GetCurrentDirectoryA
0000013B	7C80B917	GetCurrentDirectoryW
0000013C	7C80DE95	GetCurrentProcess
0000013D	7C8099C0	GetCurrentProcessId
0000013E	7C80998B	GetCurrentThread
0000013F	7C8097D0	GetCurrentThreadId
00000140	7C83621E	GetDateFormatA
00000141	7C8337A5	GetDateFormatW
00000142	7C867B81	GetDefaultCommConfigA
00000143	7C867A89	GetDefaultCommConfigW
00000144	7C87BB81	GetDefaultSortkeySize
00000145	7C861B84	GetDevicePowerState
00000146	7C8302F5	GetDiskFreeSpaceA
00000147	7C8303A3	GetDiskFreeSpaceExA
00000148	7C8128A3	GetDiskFreeSpaceExW
00000149	7C8301B7	GetDiskFreeSpaceW
0000014A	7C85FFAF	GetDllDirectoryA
0000014B	7C85FE40	GetDllDirectoryW
0000014C	7C8214E3	GetDriveTypeA
0000014D	7C80B370	GetDriveTypeW
0000014E	7C81CC93	GetEnvironmentStrings
0000014F	7C81CC93	GetEnvironmentStringsA
00000150	7C812FA8	GetEnvironmentStringsW
00000151	7C814B92	GetEnvironmentVariableA
00000152	7C80F194	GetEnvironmentVariableW
00000153	7C81AB53	GetExitCodeProcess
00000154	7C821435	GetExitCodeThread
00000155	7C865D07	GetExpandedNameA
00000156	7C865DB4	GetExpandedNameW
00000157	7C8115DC	GetFileAttributesA
00000158	7C813851	GetFileAttributesExA
00000159	7C811195	GetFileAttributesExW
0000015A	7C80B7EC	GetFileAttributesW
0000015B	7C810D0D	GetFileInformationByHandle
0000015C	7C810B17	GetFileSize
0000015D	7C810AA9	GetFileSizeEx
0000015E	7C831C4D	GetFileTime
0000015F	7C810EF1	GetFileType
00000160	7C85F50C	GetFirmwareEnvironmentVariableA
00000161	7C85F3F5	GetFirmwareEnvironmentVariableW
00000162	7C81399C	GetFullPathNameA
00000163	7C80B8F2	GetFullPathNameW
00000164	7C876982	GetGeoInfoA
00000165	7C879987	GetGeoInfoW
00000166	7C86C7C3	GetHandleContext
00000167	7C82BDC5	GetHandleInformation
00000168	7C875771	GetLargestConsoleWindowSize
00000169	7C8090DB	GetLastError
0000016A	7C87BBAB	GetLinguistLangSize
0000016B	7C80A874	GetLocalTime
0000016C	7C80D302	GetLocaleInfoA
0000016D	7C811602	GetLocaleInfoW
0000016E	7C82C2E3	GetLogicalDriveStringsA
0000016F	7C861437	GetLogicalDriveStringsW
00000170	7C830B1C	GetLogicalDrives
00000171	7C861DF7	GetLogicalProcessorInformation
00000172	7C8696C6	GetLongPathNameA
00000173	7C8133F3	GetLongPathNameW
00000174	7C85FB30	GetMailslotInfo
00000175	7C80B56F	GetModuleFileNameA
00000176	7C80B475	GetModuleFileNameW
00000177	7C80B741	GetModuleHandleA
00000178	7C86004E	GetModuleHandleExA
00000179	7C81FCC1	GetModuleHandleExW
0000017A	7C80E4DD	GetModuleHandleW
0000017B	7C860D53	GetNamedPipeHandleStateA
0000017C	7C860AED	GetNamedPipeHandleStateW
0000017D	7C8608F2	GetNamedPipeInfo
0000017E	7C837975	GetNativeSystemInfo
0000017F	7C868083	GetNextVDMCommand
00000180	7C81801D	GetNlsSectionName
00000181	7C86102C	GetNumaAvailableMemory
00000182	7C861072	GetNumaAvailableMemoryNode
00000183	7C860EA9	GetNumaHighestNodeNumber
00000184	7C860F81	GetNumaNodeProcessorMask
00000185	7C860FE6	GetNumaProcessorMap
00000186	7C860EF4	GetNumaProcessorNode
00000187	7C82EC54	GetNumberFormatA
00000188	7C8344EC	GetNumberFormatW
00000189	7C875641	GetNumberOfConsoleFonts
0000018A	7C8756AD	GetNumberOfConsoleInputEvents
0000018B	7C874821	GetNumberOfConsoleMouseButtons
0000018C	7C812847	GetOEMCP
0000018D	7C8315CC	GetOverlappedResult
0000018E	7C861EF7	GetPriorityClass
0000018F	7C836464	GetPrivateProfileIntA
00000190	7C832760	GetPrivateProfileIntW
00000191	7C835F51	GetPrivateProfileSectionA
00000192	7C832DD7	GetPrivateProfileSectionNamesA
00000193	7C85CAE2	GetPrivateProfileSectionNamesW
00000194	7C81EDBD	GetPrivateProfileSectionW
00000195	7C832B86	GetPrivateProfileStringA
00000196	7C80F9FD	GetPrivateProfileStringW
00000197	7C85CB03	GetPrivateProfileStructA
00000198	7C85CC6D	GetPrivateProfileStructW
00000199	7C80AE40	GetProcAddress
0000019A	7C821765	GetProcessAffinityMask
0000019B	7C86230D	GetProcessDEPPolicy
0000019C	7C86226A	GetProcessHandleCount
0000019D	7C80AC61	GetProcessHeap
0000019E	7C85F9B3	GetProcessHeaps
0000019F	7C861CDD	GetProcessId
000001A0	7C862239	GetProcessIoCounters
000001A1	7C8621FF	GetProcessPriorityBoost
000001A2	7C861F5D	GetProcessShutdownParameters
000001A3	7C835309	GetProcessTimes
000001A4	7C812CC3	GetProcessVersion
000001A5	7C86214C	GetProcessWorkingSetSize
000001A6	7C8364D9	GetProfileIntA
000001A7	7C82F8A2	GetProfileIntW
000001A8	7C85D0AF	GetProfileSectionA
000001A9	7C85D0E8	GetProfileSectionW
000001AA	7C821495	GetProfileStringA
000001AB	7C8213F8	GetProfileStringW
000001AC	7C80A7BD	GetQueuedCompletionStatus
000001AD	7C835BE0	GetShortPathNameA
000001AE	7C81F26E	GetShortPathNameW
000001AF	7C801EF2	GetStartupInfoA
000001B0	7C801E54	GetStartupInfoW
000001B1	7C812FD9	GetStdHandle
000001B2	7C838A3C	GetStringTypeA
000001B3	7C87720F	GetStringTypeExA
000001B4	7C80C08F	GetStringTypeExW
000001B5	7C80A530	GetStringTypeW
000001B6	7C861DC0	GetSystemDEPPolicy
000001B7	7C80BFDD	GetSystemDefaultLCID
000001B8	7C812852	GetSystemDefaultLangID
000001B9	7C8130D8	GetSystemDefaultUILanguage
000001BA	7C814F8A	GetSystemDirectoryA
000001BB	7C831DEB	GetSystemDirectoryW
000001BC	7C812DF6	GetSystemInfo
000001BD	7C835370	GetSystemPowerStatus
000001BE	7C862360	GetSystemRegistryQuota
000001BF	7C80176F	GetSystemTime
000001C0	7C82D37F	GetSystemTimeAdjustment
000001C1	7C8017E9	GetSystemTimeAsFileTime
000001C2	7C862006	GetSystemTimes
000001C3	7C8212F1	GetSystemWindowsDirectoryA
000001C4	7C80ADC9	GetSystemWindowsDirectoryW
000001C5	7C82146C	GetSystemWow64DirectoryA
000001C6	7C82146C	GetSystemWow64DirectoryW
000001C7	7C86C302	GetTapeParameters
000001C8	7C86C1CC	GetTapePosition
000001C9	7C86C39F	GetTapeStatus
000001CA	7C861967	GetTempFileNameA
000001CB	7C8359E7	GetTempFileNameW
000001CC	7C835DFA	GetTempPathA
000001CD	7C830791	GetTempPathW
000001CE	7C83973D	GetThreadContext
000001CF	7C863E71	GetThreadIOPendingFlag
000001D0	7C80A4B5	GetThreadLocale
000001D1	7C80A833	GetThreadPriority
000001D2	7C863BCF	GetThreadPriorityBoost
000001D3	7C85B1C0	GetThreadSelectorEntry
000001D4	7C863E04	GetThreadTimes
000001D5	7C80934A	GetTickCount
000001D6	7C83635D	GetTimeFormatA
000001D7	7C834003	GetTimeFormatW
000001D8	7C8350EF	GetTimeZoneInformation
000001D9	7C809FB0	GetUserDefaultLCID
000001DA	7C80C004	GetUserDefaultLangID
000001DB	7C813110	GetUserDefaultUILanguage
000001DC	7C8379BE	GetUserGeoID
000001DD	7C868989	GetVDMCurrentDirectories
000001DE	7C81127A	GetVersion
000001DF	7C812B7E	GetVersionExA
000001E0	7C80AF05	GetVersionExW
000001E1	7C821BA5	GetVolumeInformationA
000001E2	7C80FA85	GetVolumeInformationW
000001E3	7C86B0A1	GetVolumeNameForVolumeMountPointA
000001E4	7C81FB88	GetVolumeNameForVolumeMountPointW
000001E5	7C82E893	GetVolumePathNameA
000001E6	7C82E5FD	GetVolumePathNameW
000001E7	7C86B240	GetVolumePathNamesForVolumeNameA
000001E8	7C820D14	GetVolumePathNamesForVolumeNameW
000001E9	7C821363	GetWindowsDirectoryA
000001EA	7C80AE1B	GetWindowsDirectoryW
000001EB	7C85F78C	GetWriteWatch
000001EC	7C8360D9	GlobalAddAtomA
000001ED	7C81010C	GlobalAddAtomW
000001EE	7C80FDCD	GlobalAlloc
000001EF	7C85F844	GlobalCompact
000001F0	7C830BC3	GlobalDeleteAtom
000001F1	7C8360F3	GlobalFindAtomA
000001F2	7C834EC7	GlobalFindAtomW
000001F3	7C85F648	GlobalFix
000001F4	7C8367A2	GlobalFlags
000001F5	7C80FCCF	GlobalFree
000001F6	7C85C263	GlobalGetAtomNameA
000001F7	7C82C3CE	GlobalGetAtomNameW
000001F8	7C834CE9	GlobalHandle
000001F9	7C80FFB9	GlobalLock
000001FA	7C8310FA	GlobalMemoryStatus
000001FB	7C81F992	GlobalMemoryStatusEx
000001FC	7C812459	GlobalReAlloc
000001FD	7C834DD1	GlobalSize
000001FE	7C85F68C	GlobalUnWire
000001FF	7C85F662	GlobalUnfix
00000200	7C80FF22	GlobalUnlock
00000201	7C85F67C	GlobalWire
00000202	7C864C16	Heap32First
00000203	7C864AD1	Heap32ListFirst
00000204	7C864B7F	Heap32ListNext
00000205	7C864D30	Heap32Next
00000206	7C8090F6	HeapAlloc
00000207	7C83614E	HeapCompact
00000208	7C812C56	HeapCreate
00000209	7C85F8A1	HeapCreateTagsW
0000020A	7C810F98	HeapDestroy
0000020B	7C85F870	HeapExtend
0000020C	7C80910C	HeapFree
0000020D	7C85F9C4	HeapLock
0000020E	7C85FAFD	HeapQueryInformation
0000020F	7C85F8B2	HeapQueryTagW
00000210	7C80911E	HeapReAlloc
00000211	7C839499	HeapSetInformation
00000212	7C809136	HeapSize
00000213	7C85F8C3	HeapSummary
00000214	7C85F9DE	HeapUnlock
00000215	7C85F91F	HeapUsage
00000216	7C85F993	HeapValidate
00000217	7C85F9F8	HeapWalk
00000218	7C82AF8F	InitAtomTable
00000219	7C809F91	InitializeCriticalSection
0000021A	7C80B8C9	InitializeCriticalSectionAndSpinCount
0000021B	7C809148	InitializeSListHead
0000021C	7C809842	InterlockedCompareExchange
0000021D	7C80981A	InterlockedDecrement
0000021E	7C80982E	InterlockedExchange
0000021F	7C809856	InterlockedExchangeAdd
00000220	7C809165	InterlockedFlushSList
00000221	7C809806	InterlockedIncrement
00000222	7C809184	InterlockedPopEntrySList
00000223	7C8091A6	InterlockedPushEntrySList
00000224	7C874355	InvalidateConsoleDIBits
00000225	7C80BD6F	IsBadCodePtr
00000226	7C83596F	IsBadHugeReadPtr
00000227	7C80C03D	IsBadHugeWritePtr
00000228	7C809EA1	IsBadReadPtr
00000229	7C83228B	IsBadStringPtrA
0000022A	7C80A67C	IsBadStringPtrW
0000022B	7C809F19	IsBadWritePtr
0000022C	7C80B87C	IsDBCSLeadByte
0000022D	7C87B60E	IsDBCSLeadByteEx
0000022E	7C813133	IsDebuggerPresent
0000022F	7C86C464	IsProcessInJob
00000230	7C80AECA	IsProcessorFeaturePresent
00000231	7C861BC8	IsSystemResumeAutomatic
00000232	7C81116B	IsValidCodePage
00000233	7C87752F	IsValidLanguageGroup
00000234	7C81C1C3	IsValidLocale
00000235	7C87763B	IsValidUILanguage
00000236	7C815239	IsWow64Process
00000237	7C838E18	LCMapStringA
00000238	7C80CD48	LCMapStringW
00000239	7C8665FE	LZClose
0000023A	7C866587	LZCloseFile
0000023B	7C8597E4	LZCopy
0000023C	7C8660BD	LZCreateFileW
0000023D	7C880311	LZDone
0000023E	7C865F62	LZInit
0000023F	7C866190	LZOpenFileA
00000240	7C866257	LZOpenFileW
00000241	7C866379	LZRead
00000242	7C8662EE	LZSeek
00000243	7C8801F6	LZStart
00000244	7C8091C9	LeaveCriticalSection
00000245	7C801D7B	LoadLibraryA
00000246	7C801D53	LoadLibraryExA
00000247	7C801AF5	LoadLibraryExW
00000248	7C80AEEB	LoadLibraryW
00000249	7C86261E	LoadModule
0000024A	7C80A055	LoadResource
0000024B	7C809A2D	LocalAlloc
0000024C	7C85F844	LocalCompact
0000024D	7C835554	LocalFileTimeToFileTime
0000024E	7C855DE6	LocalFlags
0000024F	7C8099CF	LocalFree
00000250	7C855EE1	LocalHandle
00000251	7C832E4D	LocalLock
00000252	7C83092F	LocalReAlloc
00000253	7C85F85A	LocalShrink
00000254	7C8325EC	LocalSize
00000255	7C832EE1	LocalUnlock
00000256	7C832391	LockFile
00000257	7C82F571	LockFileEx
00000258	7C80CD37	LockResource
00000259	7C85F730	MapUserPhysicalPages
0000025A	7C85F75E	MapUserPhysicalPagesScatter
0000025B	7C80B9A5	MapViewOfFile
0000025C	7C80B936	MapViewOfFileEx
0000025D	7C8653A0	Module32First
0000025E	7C8652E7	Module32FirstW
0000025F	7C865525	Module32Next
00000260	7C865484	Module32NextW
00000261	7C835EBF	MoveFileA
00000262	7C85E49B	MoveFileExA
00000263	7C83568B	MoveFileExW
00000264	7C821261	MoveFileW
00000265	7C835EDE	MoveFileWithProgressA
00000266	7C81F72E	MoveFileWithProgressW
00000267	7C809866	MulDiv
00000268	7C809C98	MultiByteToWideChar
00000269	7C814FFC	NlsConvertIntegerToString
0000026A	7C835849	NlsGetCacheUpdateCount
0000026B	7C877509	NlsResetProcessLocale
0000026C	7C86113A	NumaVirtualQueryNode
0000026D	7C811081	OpenConsoleW
0000026E	7C82AD98	OpenDataFile
0000026F	7C8132AC	OpenEventA
00000270	7C8131E0	OpenEventW
00000271	7C821982	OpenFile
00000272	7C80BC16	OpenFileMappingA
00000273	7C80BB7A	OpenFileMappingW
00000274	7C86C538	OpenJobObjectA
00000275	7C86C3C0	OpenJobObjectW
00000276	7C80EABB	OpenMutexA
00000277	7C80EA35	OpenMutexW
00000278	7C8309E9	OpenProcess
00000279	7C83334F	OpenProfileUserMapping
