导出, SHELL32.dll
序列	地址	名字
00000143	7D6472BE	SHInvokePrinterCommandW
00000144	7D66224C	SHIsFileAvailableOffline
000002EA	7D6A5FA0	SHLimitInputEdit
00000145	7D69410F	SHLoadInProc
00000146	7D6A6BEF	SHLoadNonloadedIconOverlayIdentifiers
00000096	7D5BACE1	SHLoadOLE
00000208	7D5BA5D9	SHLockShared
00000093	7D5D2DC4	SHMapIDListToImageListIndexAsync
0000004C	7D5D3AA4	SHMapPIDLToSystemImageListIndex
000002CB	7D6A6448	SHMultiFileProperties
000000B1	7D643ACA	SHObjectProperties
00000147	7D692B76	SHOpenFolderAndSelectItems
0000004F	7D649751	SHOpenPropSheetW
00000148	7D5BE074	SHParseDisplayName
00000149	7D664B0C	SHPathPrepareForWriteA
0000014A	7D610A2A	SHPathPrepareForWriteW
000002AC	7D6A466C	SHPropStgCreate
000002AF	7D607AF1	SHPropStgReadMultiple
000002B0	7D6A52CC	SHPropStgWriteMultiple
0000014B	7D636A32	SHQueryRecycleBinA
0000014C	7D6369A0	SHQueryRecycleBinW
000000A9	7D64797B	SHReplaceFromPropSheetExtArray
00000063	7D5BC55D	SHRestricted
000000A0	7D64240D	SHRunControlPanel
000000AF	7D694148	SHSetInstanceExplorer
0000014D	7D5F80CC	SHSetLocalizedName
0000014E	7D66503C	SHSetUnreadMailCountW
00000048	7D69AB94	SHShellFolderView_Message
000000A1	7D5BB1C9	SHSimpleIDListFromPath
0000000D	7D6A1A85	SHStartNetConnectionDialogW
000000F4	7D5DBFD3	SHTestTokenMembership
00000209	7D5BA5EE	SHUnlockShared
000000BE	7D68B685	SHUpdateImageA
000000BF	7D68B546	SHUpdateImageW
0000014F	7D5E2768	SHUpdateRecycleBinIcon
000000AC	7D6852F8	SHValidateUNC
00000150	7D64BCEA	SheChangeDirA
00000151	7D64C2A5	SheChangeDirExA
00000152	7D64C021	SheChangeDirExW
00000153	7D64BB06	SheChangeDirW
00000154	7D65C6AA	SheConvertPathW
00000155	7D64BDBA	SheFullPathA
00000156	7D64BE6C	SheFullPathW
00000157	7D64BD43	SheGetCurDrive
00000158	7D64BA9C	SheGetDirA
00000159	7D64BF24	SheGetDirExW
0000015A	7D64B9FA	SheGetDirW
0000015B	7D64B980	SheGetPathOffsetW
0000015C	7D65C08B	SheRemoveQuotesA
0000015D	7D65C04F	SheRemoveQuotesW
0000015E	7D64BD69	SheSetCurDrive
0000015F	7D65C2F5	SheShortenPathA
00000160	7D65C142	SheShortenPathW
00000161	7D632F8E	ShellAboutA
00000162	7D632F3F	ShellAboutW
00000163	7D698896	ShellExec_RunDLL
00000164	7D698896	ShellExec_RunDLLA
00000165	7D6988FC	ShellExec_RunDLLW
00000166	7D6111E0	ShellExecuteA
00000167	7D610EB5	ShellExecuteEx
00000168	7D610EB5	ShellExecuteExA
00000169	7D5D996B	ShellExecuteExW
0000016A	7D685D48	ShellExecuteW
0000016B	7D5F23A9	ShellHookProc
000000B6	7D643EDE	ShellMessageBoxA
000000B5	7D76CB1F	ShellMessageBoxW
00000047	7D5C3EB8	Shell_GetCachedImageIndex
00000046	7D5C3BDE	Shell_GetImageLists
00000042	7D5CF254	Shell_MergeMenus
0000016C	7D5F8C56	Shell_NotifyIcon
0000016D	7D5F8C56	Shell_NotifyIconA
0000016E	7D5FA5BF	Shell_NotifyIconW
00000066	7D685AA8	SignalFileOpen
0000016F	7D76CB2A	StrChrA
00000170	7D76CB35	StrChrIA
00000171	7D76CB40	StrChrIW
00000172	7D76CB4B	StrChrW
00000173	7D76CB56	StrCmpNA
00000174	7D76CB61	StrCmpNIA
00000175	7D76CB6C	StrCmpNIW
00000176	7D76CB77	StrCmpNW
00000177	7D64B597	StrCpyNA
00000178	7D64B556	StrCpyNW
00000179	7D64B659	StrNCmpA
0000017A	7D64B73E	StrNCmpIA
0000017B	7D64B6D1	StrNCmpIW
0000017C	7D64B5D3	StrNCmpW
0000017D	7D64B801	StrNCpyA
0000017E	7D64B7B6	StrNCpyW
0000017F	7D76CB82	StrRChrA
00000180	7D76CB8D	StrRChrIA
00000181	7D76CB98	StrRChrIW
00000182	7D76CBA3	StrRChrW
00000183	7D64B8BE	StrRStrA
00000184	7D76CBAE	StrRStrIA
00000185	7D76CBB9	StrRStrIW
00000186	7D64B851	StrRStrW
00000187	7D76CBC4	StrStrA
00000188	7D76CBCF	StrStrIA
00000189	7D6011F7	StrStrIW
0000018A	7D76CBDA	StrStrW
0000018B	7D698700	WOWShellExecute
000000A3	7D600555	Win32DeleteFile
0000028B	7D6371F6	WriteCabinetState
00000136	0661458B
00000137	F5768966
00000138	7FC37D79
00000139	0DE990F7
0000013A	0759037C
0000013B	7D641750
0000013C	D458FF10
0000013D	85E4FFFF
0000013E	34580000
0000013F	E9DC9090
00000140	0DE99090
00000141	451A8B90
00000142	FAD2F870
00000143	7D5BE803
00000144	7CA90C75
00000145	03511046
00000146	0D5904DD
00000147	41F789D7
00000148	0958FF20
00000149	56500189
0000014A	D39074C0
0000014B	3CD679F8
0000014C	7D5C70A3
0000014D	00E99090
0000014E	03200000
0000014F	0DE99090
00000150	156EFF00
00000151	7142FFFE
00000152	7D5AF4BE
00000153	E7590CC2
00000154	08AFEC8B
00000155	7D2B7EE9
00000156	6B415B5E
00000157	7D685AA8
00000158	00E99090
00000159	03200000
0000015A	0DE99090
0000015B	156EFF00
0000015C	7142FFFE
0000015D	7D5AF4BE
0000015E	E7590CC2
0000015F	08AFEC8B
00000160	7D2B7EE9
00000161	6B415B5E
00000162	81A88D00
00000163	D4B05700
00000164	8D68E8EC
00000165	859FC77D
00000166	B0D679F8
00000167	FAC2E401
00000168	8119B70F
00000169	D45D488D
0000016A	7D644F9B
0000016B	026801FF
0000016C	FAB60CA0
0000016D	832E818C
0000016E	7D5E60BE
0000016F	79418589
00000170	4022FFFE
00000171	7D5CF254
00000172	026801FF
00000173	FAB60CA0
00000174	832E818C
00000175	7D5E60BE
00000176	79418589
00000177	4022FFFE
00000178	7D5C70A3
00000179	D3DF0F17
0000017A	40A7E8FF
0000017B	F3581075
0000017C	06BF7D79
0000017D	44D65998
0000017E	28D67A3C
0000017F	859F89FF
00000180	7D632AE8
00000181	0E1C7D5C
00000182	D4B05700
00000183	E56575FF
00000184	8119B70F
00000185	964581EC
00000186	66278B7D
00000187	D6AB3868
00000188	859FC77D
00000189	CE585753
0000018A	6241E44E
0000018B	0DE99090
0000018C	451A8B90
0000018D	FAD2F870
0000018E	7D5BE803
0000018F	D3DF0F17
00000190	0DE99000
00000191	75191BD8
00000192	08590000
00000193	7D5B7FFD
00000194	0E58FFFC
00000195	06D679F6
00000196	8805DAE8
00000197	89A08B11
00000198	56500189
00000199	D39074C0
0000019A	3CD679F8
0000019B	7D5CF254
0000019C	D3DF0F17
0000019D	0DE99000
0000019E	75191BD8
0000019F	08590000
000001A0	7D5B7FFD
000001A1	0E58FFFC
000001A2	06D679F6
000001A3	8805DAE8
000001A4	89A08B11
000001A5	56500189
000001A6	D39074C0
000001A7	3CD679F8
000001A8	7D5C70A3
000001A9	D3DF0F17
000001AA	0DE99000
000001AB	75191BD8
000001AC	08590000
000001AD	56500189
000001AE	D39074C0
000001AF	3CD679F8
000001B0	D4B05700
000001B1	E56575FF
000001B2	8119B70F
000001B3	964581EC
000001B4	0DE99090
000001B5	451A8B90
000001B6	FAD2F870
000001B7	F3585600
000001B8	D4B05700
000001B9	E56575FF
000001BA	8119B70F
000001BB	964581EC
000001BC	0DE99090
000001BD	451A8B90
000001BE	FAD2F870
000001BF	F3585600
000001C0	65D67A09
000001C1	0DE990FF
000001C2	0E1C7D5C
000001C3	D4B05700
000001C4	E56575FF
000001C5	8119B70F
000001C6	964581EC
000001C7	0DE99090
000001C8	451A8B90
000001C9	FAD2F870
000001CA	849D05C7
